Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,33.0200,0.0000,top
"J2","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,35.5600,0.0000,top
"J3","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,38.1000,0.0000,top
"J4","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,2.5400,0.0000,top
"J5","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,5.0800,180.0000,top
"J6","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,7.6200,180.0000,top
"J7","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,23.3680,0.0000,top
"J8","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,18.2880,0.0000,top
"J9","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,15.7480,0.0000,top
"J10","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,20.8280,0.0000,top
"M1","HOLE","MountingHole_3mm",15.3670,5.0800,0.0000,top
"M2","HOLE","MountingHole_3mm",5.2070,5.0800,0.0000,top
"M3","HOLE","MountingHole_3mm",5.2070,35.5600,0.0000,top
"M4","HOLE","MountingHole_3mm",15.3670,35.5600,0.0000,top
"U1","MICROFC-60035-SMT-TR(1)","MicroFC−60035−SMT",10.2870,20.3200,0.0000,top
